ID;repsonse_variable;var_numeric;var_categorical1;var_categorical2
448;72,92;21;39;3
449;10,99;0;40;3
450;14,75;2;40;3
451;17,69;4;40;3
452;21,18;6;40;3
453;27,08;8;40;3
454;32,17;10;40;3
455;41,29;12;40;3
456;48,79;14;40;3
457;57,64;16;40;3
458;70,24;18;40;3
459;79,09;20;40;3
460;86,06;21;40;3
461;11,26;0;41;4
462;13,67;2;41;4
463;17,69;4;41;4
464;22,79;6;41;4
465;27,61;8;41;4
466;33,24;10;41;4
467;41,55;12;41;4
468;41,02;14;41;4
469;46,92;16;41;4
470;49,33;18;41;4
471;53,35;20;41;4
472;54,69;21;41;4
473;11,26;0;42;4
474;13,14;2;42;4
475;16,89;4;42;4
476;22,52;6;42;4
477;27,61;8;42;4
478;33,78;10;42;4
479;42,90;12;42;4
480;46,65;14;42;4
481;54,69;16;42;4
482;62,73;18;42;4
483;72,12;20;42;4
484;75,34;21;42;4
485;11,26;0;43;4
486;14,75;2;43;4
487;18,50;4;43;4
488;25,74;6;43;4
489;35,12;8;43;4
490;42,09;10;43;4
491;49,33;12;43;4
492;50,40;14;43;4
493;52,82;16;43;4
494;53,08;18;43;4
495;53,35;20;43;4
496;53,62;21;43;4
497;11,26;0;44;4
498;13,67;2;44;4
499;17,43;4;44;4
500;23,06;6;44;4
501;27,61;8;44;4
502;31,64;10;44;4
503;34,05;12;44;4
504;37,00;14;44;4
505;38,87;16;44;4
506;39,14;18;44;4
507;10,99;0;45;4
508;13,40;2;45;4
509;16,35;4;45;4
510;20,91;6;45;4
511;26,27;8;45;4
512;31,37;10;45;4
513;36,19;12;45;4
514;37,80;14;45;4
515;39,41;16;45;4
516;46,65;18;45;4
517;52,82;20;45;4
518;52,55;21;45;4
519;10,72;0;46;4
520;13,94;2;46;4
521;16,62;4;46;4
522;21,98;6;46;4
523;27,08;8;46;4
524;32,17;10;46;4
525;38,61;12;46;4
526;41,82;14;46;4
527;46,38;16;46;4
528;56,30;18;46;4
529;61,93;20;46;4
530;63,81;21;46;4
531;10,99;0;47;4
532;14,21;2;47;4
533;17,69;4;47;4
534;21,18;6;47;4
535;26,81;8;47;4
536;32,98;10;47;4
537;39,68;12;47;4
538;42,09;14;47;4
539;45,04;16;47;4
540;49,60;18;47;4
541;56,30;20;47;4
542;54,96;21;47;4
543;10,46;0;48;4
544;13,40;2;48;4
545;16,62;4;48;4
546;21,45;6;48;4
547;27,88;8;48;4
548;33,51;10;48;4
549;41,29;12;48;4
550;45,58;14;48;4
551;59,52;16;48;4
552;69,97;18;48;4
553;81,23;20;48;4
554;86,33;21;48;4
555;10,72;0;49;4
556;14,21;2;49;4
557;17,16;4;49;4
558;22,79;6;49;4
559;28,95;8;49;4
560;34,32;10;49;4
561;40,75;12;49;4
562;44,50;14;49;4
563;49,33;16;49;4
564;54,42;18;49;4
565;62,47;20;49;4
566;63,54;21;49;4
567;10,99;0;50;4
568;14,48;2;50;4
569;17,96;4;50;4
570;22,52;6;50;4
571;28,15;8;50;4
572;32,71;10;50;4
573;41,55;12;50;4
574;46,92;14;50;4
575;54,96;16;50;4
576;62,73;18;50;4
577;70,78;20;50;4
578;70,78;21;50;4
